module,path,layer,component,incoming,outgoing,classes,functions,async_functions,lines,size
delbot_platform.documents.registry.document,delbot_platform/documents/registry/document.py,documents,module,7,0,1,0,0,20,281
delbot_platform.documents.registry.factory,delbot_platform/documents/registry/factory.py,documents,factory,1,0,1,1,0,33,738
delbot_platform.documents.registry.filesystem,delbot_platform/documents/registry/filesystem.py,documents,module,1,0,1,9,0,186,3140
delbot_platform.documents.registry.manager,delbot_platform/documents/registry/manager.py,documents,module,3,0,1,6,0,100,1881
delbot_platform.documents.registry.memory,delbot_platform/documents/registry/memory.py,documents,module,1,0,1,7,0,82,1334
delbot_platform.documents.registry.repository,delbot_platform/documents/registry/repository.py,documents,module,4,0,1,3,0,32,523
delbot_platform.documents.services.__init__,delbot_platform/documents/services/__init__.py,documents,module,0,0,0,0,0,7,129
delbot_platform.documents.services.indexing,delbot_platform/documents/services/indexing.py,documents,module,1,0,1,1,1,32,634
delbot_platform.documents.structure.__init__,delbot_platform/documents/structure/__init__.py,documents,module,0,0,0,0,0,0,0
delbot_platform.documents.structure.section.__init__,delbot_platform/documents/structure/section/__init__.py,documents,module,0,0,0,0,0,16,241
delbot_platform.documents.structure.section.builder,delbot_platform/documents/structure/section/builder.py,documents,builder,2,0,1,1,0,113,2188
delbot_platform.documents.structure.section.section,delbot_platform/documents/structure/section/section.py,documents,module,5,0,1,5,0,122,1649
delbot_platform.gateway.__init__,delbot_platform/gateway/__init__.py,gateway,module,0,0,0,0,0,0,0
delbot_platform.gateway.__main__,delbot_platform/gateway/__main__.py,gateway,module,0,0,0,1,0,21,339
delbot_platform.gateway.app,delbot_platform/gateway/app.py,gateway,module,0,0,0,1,0,72,1070
delbot_platform.gateway.client,delbot_platform/gateway/client.py,gateway,module,3,0,1,5,0,116,2249
delbot_platform.gateway.exceptions,delbot_platform/gateway/exceptions.py,gateway,module,1,0,5,0,0,31,492
delbot_platform.gateway.mapper.__init__,delbot_platform/gateway/mapper/__init__.py,gateway,module,0,0,0,0,0,0,0
delbot_platform.gateway.mapper.chat,delbot_platform/gateway/mapper/chat.py,gateway,module,1,0,1,1,0,55,1415
delbot_platform.gateway.mapper.embedding,delbot_platform/gateway/mapper/embedding.py,gateway,module,2,0,1,1,0,48,1054
delbot_platform.gateway.openai.__init__,delbot_platform/gateway/openai/__init__.py,gateway,module,0,0,0,0,0,0,0
delbot_platform.gateway.openai.chat,delbot_platform/gateway/openai/chat.py,gateway,module,2,0,3,0,0,40,602
delbot_platform.gateway.openai.embedding,delbot_platform/gateway/openai/embedding.py,gateway,module,2,0,2,0,0,32,467
delbot_platform.gateway.providers.__init__,delbot_platform/gateway/providers/__init__.py,gateway,module,0,0,0,0,0,0,0
delbot_platform.gateway.providers.base,delbot_platform/gateway/providers/base.py,gateway,module,4,0,1,0,2,32,670
